{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.011963935381209547 + 0.*I, 0.9640572550746018 + 0.*I, 0.9640674934970008 + 0.*I, 0.01191739168799888 + 0.*I, 0.00003625636080251127 + 0.*I, 4.887079629867231*^-8 + 0.*I, 3.6592950891645166*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 4.218847493575595*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 2.4780177909633494*^-11 + 0.*I, 3.2739810862381095*^-9 + 0.*I, 5.605802280706478*^-9 + 0.*I, 2.2964075085951667*^-9 + 0.*I, 1.2390088954816747*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 4.218847493575595*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.014207498743190607 + 0.*I, 0.9573084882338102 + 0.*I, 0.9573229483995862 + 0.*I, 0.014141699053205059 + 0.*I, 0.00005125718320897477 + 0.*I, 8.226439529579467*^-8 + 0.*I, 7.360778653264789*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 4.1611158962950874*^-11 + 0.*I, 4.614997273222344*^-9 + 0.*I, 7.912401983612147*^-9 + 0.*I, 3.237210499662524*^-9 + 0.*I, 2.0405899192610377*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.016635145576593402 + 0.*I, 0.9500017342514155 + 0.*I, 0.9500215906578015 + 0.*I, 0.01654469487559762 + 0.*I, 0.0000704613619895156 + 0.*I, 1.3279080057770898*^-7 + 0.*I, 1.403988036940973*^-10 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 6.661338147750939*^-11 + 0.*I, 6.323386259055042*^-9 + 0.*I, 1.08578021573714*^-8 + 0.*I, 4.4356074369034104*^-9 + 0.*I, 3.2596148002994596*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.01924415891298992 + 0.*I, 0.9421441154390033 + 0.*I, 0.9421707356138009 + 0.*I, 0.01912275822080201 + 0.*I, 0.0000945734351942562 + 0.*I, 2.0682719981124367*^-7 + 0.*I, 2.537969834293108*^-10 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.0338396805309459*^-10 + 0.*I, 8.458411748790695*^-9 + 0.*I, 1.4545394055877616*^-8 + 0.*I, 5.933209479280777*^-9 + 0.*I, 5.080380560684717*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.022031618443807414 + 0.*I, 0.9337432868597785 + 0.*I, 0.933778243322414 + 0.*I, 0.02187200285819202 + 0.*I, 0.00012434631220248352 + 0.*I, 3.123699965357219*^-7 + 0.*I, 4.4040326940830715*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.5560885913146194*^-10 + 0.*I, 1.1080403261587436*^-8 + 0.*I, 1.9085188984749767*^-8 + 0.*I, 7.77220510173038*^-9 + 0.*I, 7.600586826583822*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.02499440370660189 + 0.*I, 0.9248074279185835 + 0.*I, 0.9248525093581873 + 0.*I, 0.024788282777210565 + 0.*I, 0.0001605794754055978 + 0.*I, 4.592759950128311*^-7 + 0.*I, 7.370104526671639*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 2.2861712523081223*^-10 + 0.*I, 1.4252998781216775*^-8 + 0.*I, 2.459239756280612*^-8 + 0.*I, 9.997802585814952*^-9 + 0.*I, 1.1179945857975326*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.02812919748380605 + 0.*I, 0.9153452333818147 + 0.*I, 0.9154024550066087 + 0.*I, 0.02786719807281735 + 0.*I, 0.00020411706680434352 + 0.*I, 6.59522791934819*^-7 + 0.*I, 1.1955991752188313*^-9 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 1.998401444325282*^-12 + 0.*I, 3.2760461010639124*^-10 + 0.*I, 1.8041013127856335*^-8 + 0.*I, 3.1186593585364676*^-8 + 0.*I, 1.2654810532808371*^-8 + 0.*I, 1.6020518245341011*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.03143248942141241 + 0.*I, 0.9053659038335883 + 0.*I, 0.9054375168410013 + 0.*I, 0.031104101189005643 + 0.*I, 0.00025584585998661424 + 0.*I, 9.274792045488313*^-7 + 0.*I, 1.8860024653122313*^-9 + 0.*I, 2.997602166487923*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 2.62012633811537*^-12 + 0.*I, 4.595879232738298*^-10 + 0.*I, 2.2511592590035434*^-8 + 0.*I, 3.899280343056017*^-8 + 0.*I, 1.5790813101546064*^-8 + 0.*I, 2.247979580261017*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.03490057985200412 + 0.*I, 0.8948791355842146 + 0.*I, 0.8949676357070002 + 0.*I, 0.034494103513216245 + 0.*I, 0.0003166931250131455 + 0.*I, 1.2801872006917847*^-6 + 0.*I, 2.901590079318339*^-9 + 0.*I, 4.596323321948148*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 4.39648317751562*^-12 + 0.*I, 6.338041202980094*^-10 + 0.*I, 2.7733393359596906*^-8 + 0.*I, 4.813860282615325*^-8 + 0.*I, 1.9453594291007906*^-8 + 0.*I, 3.0999647293583626*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.03852958382359884 + 0.*I, 0.8838951100361925 + 0.*I, 0.8840032451239878 + 0.*I, 0.03803208231660805 + 0.*I, 0.0003876243879874508 + 0.*I, 1.7376601935126246*^-6 + 0.*I, 4.365596772970548*^-9 + 0.*I, 7.194245199571015*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 6.794564910705959*^-12 + 0.*I, 8.592015987574086*^-10 + 0.*I, 3.377420565442435*^-8 + 0.*I, 5.875560038504091*^-8 + 0.*I, 2.3691382189383606*^-8 + 0.*I, 4.201972103601293*^-10 + 0.*I, 2.19824158875781*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.04231543533059768 + 0.*I, 0.8724244825266015 + 0.*I, 0.8725552591152043 + 0.*I, 0.04171268802000139 + 0.*I, 0.0004696410889959424 + 0.*I, 2.32318539961085*^-6 + 0.*I, 6.438205524261776*^-9 + 0.*I, 1.1590728377086636*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.0214051826551442*^-11 + 0.*I, 1.1466161353723692*^-9 + 0.*I, 4.0702996528807496*^-8 + 0.*I, 7.097780141407385*^-8 + 0.*I, 2.8551783159969094*^-8 + 0.*I, 5.608180586591517*^-10 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.04625389173940065 + 0.*I, 0.8604783706564146 + 0.*I, 0.8606350594903889 + 0.*I, 0.04553035178440634 + 0.*I, 0.0005637781437917156 + 0.*I, 3.0636380099480225*^-6 + 0.*I, 9.322809191303351*^-9 + 0.*I, 1.8407497748285095*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.4988010832439613*^-11 + 0.*I, 1.5093926108988853*^-9 + 0.*I, 4.858780044969535*^-8 + 0.*I, 8.494059344776889*^-8 + 0.*I, 3.408320292663803*^-8 + 0.*I, 7.382094935337592*^-10 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.05034053840340391 + 0.*I, 0.8480683421211888 + 0.*I, 0.8482544825888063 + 0.*I, 0.0494792934113919 + 0.*I, 0.0006711014143956363 + 0.*I, 3.989805397175417*^-6 + 0.*I, 1.3276979515808307*^-8 + 0.*I, 2.819966482547898*^-11 + 0.*I, 0. + 0.*I, 0. + 0.*I, 2.1804780203638078*^-11 + 0.*I, 1.9622081737225017*^-9 + 0.*I, 5.749640763497155*^-8 + 0.*I, 1.0078080314723796*^-7 + 0.*I, 4.033280376347648*^-8 + 0.*I, 9.59787804788448*^-10 + 0.*I, 7.394085344003543*^-12 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.05457079346440353 + 0.*I, 0.8352064020549889 + 0.*I, 0.8354258055023989 + 0.*I, 0.05355352954339309 + 0.*I, 0.0007927050917899693 + 0.*I, 5.1367149866976555*^-6 + 0.*I, 1.8622792197220406*^-8 + 0.*I, 4.301003997397857*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.0819791163594346*^-11 + 0.*I, 2.521405306765701*^-9 + 0.*I, 6.74942102207865*^-8 + 0.*I, 1.1863599547190531*^-7 + 0.*I, 4.734659331262492*^-8 + 0.*I, 1.233591007121504*^-9 + 0.*I, 1.0391687510491465*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.058939912832811636 + 0.*I, 0.8219049799059964 + 0.*I, 0.8221617317982101 + 0.*I, 0.05774688214961188 + 0.*I, 0.0009297089957893689 + 0.*I, 6.543971808881111*^-6 + 0.*I, 2.5758595256775155*^-8 + 0.*I, 6.479261571712415*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 4.2410519540680986*^-11 + 0.*I, 3.205014031948395*^-9 + 0.*I, 7.864440210170187*^-8 + 0.*I, 1.386429929195467*^-7 + 0.*I, 5.5168802859384414*^-8 + 0.*I, 1.5677903419941686*^-9 + 0.*I, 1.438849039914203*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.06344299534439823 + 0.*I, 0.8081769158575948 + 0.*I, 0.8084753767545916 + 0.*I, 0.06205298728678699 + 0.*I, 0.0010832557967965786 + 0.*I, 8.25609520749282*^-6 + 0.*I, 3.517159896659905*^-8 + 0.*I, 9.539036227579346*^-11 + 0.*I, 0. + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.7798210661985656*^-11 + 0.*I, 4.034994560697669*^-9 + 0.*I, 9.100900033587322*^-8 + 0.*I, 1.609381961031886*^-7 + 0.*I, 6.384359707567455*^-8 + 0.*I, 1.9737989020995883*^-9 + 0.*I, 1.9606538614880268*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
