{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.2886183693489919 + 0.*I, 0.07328319599599897 + 0.*I, 0.08054067156959555 + 0.*I, 0.2443119416699835 + 0.*I, 0.03505299735480083 + 0.*I, 0.001937341210389576 + 0.*I, 0.00005752866640840182 + 0.*I, 1.0710524023238577*^-6 + 0.*I, 1.354658607510828*^-8 + 0.*I, 4.662203956229406*^-9 + 0.*I, 9.039220483231247*^-8 + 0.*I, 7.915817779036162*^-7 + 0.*I, 1.386734993502614*^-6 + 0.*I, 3.5121862085318867*^-6 + 0.*I, 8.926139827281077*^-7 + 0.*I, 3.222069944186501*^-7 + 0.*I, 2.295019729814385*^-8 + 0.*I, 7.386091738226242*^-10 + 0.*I, 1.261213355974178*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.29315686544799663 + 0.*I, 0.05624580829819426 + 0.*I, 0.06378123108579103 + 0.*I, 0.2466785873421973 + 0.*I, 0.036776554533402006 + 0.*I, 0.00210067945840553 + 0.*I, 0.00006436905819473539 + 0.*I, 1.235822399969777*^-6 + 0.*I, 1.6112999823292284*^-8 + 0.*I, 5.3619997331111335*^-9 + 0.*I, 1.0082379375830898*^-7 + 0.*I, 8.520089966879141*^-7 + 0.*I, 1.400664606521218*^-6 + 0.*I, 3.6343327902699234*^-6 + 0.*I, 9.01885388593371*^-7 + 0.*I, 3.467782061505887*^-7 + 0.*I, 2.5592994390422064*^-8 + 0.*I, 8.505862680863175*^-10 + 0.*I, 1.4988010832439613*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.29756099921600665 + 0.*I, 0.03948359024239512 + 0.*I, 0.047296468942015224 + 0.*I, 0.2488560599178014 + 0.*I, 0.03854417770581265 + 0.*I, 0.0022745491661924078 + 0.*I, 0.00007189146060682106 + 0.*I, 1.4227506062169939*^-6 + 0.*I, 1.9114798632813293*^-8 + 0.*I, 6.152389708802275*^-9 + 0.*I, 1.1224681184529574*^-7 + 0.*I, 9.15585385286022*^-7 + 0.*I, 1.410309802274412*^-6 + 0.*I, 3.755264388338731*^-6 + 0.*I, 9.084389906988123*^-7 + 0.*I, 3.7262759544631763*^-7 + 0.*I, 2.8485991343529807*^-8 + 0.*I, 9.771961018145703*^-10 + 0.*I, 1.780797731498751*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3018255029506145 + 0.*I, 0.023010388431199406 + 0.*I, 0.03109946438419886 + 0.*I, 0.2508400963376012 + 0.*I, 0.040355124787994086 + 0.*I, 0.0024593978660059084 + 0.*I, 0.00008015051460308342 + 0.*I, 1.634390600635527*^-6 + 0.*I, 2.261719700413778*^-8 + 0.*I, 7.043188254840516*^-9 + 0.*I, 1.2473420074599062*^-7 + 0.*I, 9.82368586477378*^-7 + 0.*I, 1.4153378025127952*^-6 + 0.*I, 3.874620402299911*^-6 + 0.*I, 9.120636024206874*^-7 + 0.*I, 3.9977900989640597*^-7 + 0.*I, 3.164781769982028*^-8 + 0.*I, 1.1205925076751557*^-9 + 0.*I, 2.1405099914773018*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3059452500231874 + 0.*I, 0.00683968867039031 + 0.*I, 0.015202900483601846 + 0.*I, 0.2526266891414109 + 0.*I, 0.04220856540320117 + 0.*I, 0.0026556787503961843 + 0.*I, 0.00008920409939605635 + 0.*I, 1.8735403894964975*^-6 + 0.*I, 2.6694202404087267*^-8 + 0.*I, 8.044787058736347*^-9 + 0.*I, 1.3836281009815823*^-7 + 0.*I, 1.0524089821828397*^-6 + 0.*I, 1.4154115879350115*^-6 + 0.*I, 3.992031993860223*^-6 + 0.*I, 9.125454170089143*^-7 + 0.*I, 4.282523891063761*^-7 + 0.*I, 3.5097391659633104*^-8 + 0.*I, 1.2821965711395935*^-9 + 0.*I, 2.5401902803423585*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3099152601103939 + 0.*I, 0.009015397159983785 + 0.*I, 0.0003809486100125881 + 0.*I, 0.25421209204399275 + 0.*I, 0.044103580637400164 + 0.*I, 0.002863850049394934 + 0.*I, 0.00009911344300839177 + 0.*I, 2.143261790266138*^-6 + 0.*I, 3.142901494612716*^-8 + 0.*I, 9.168599213182917*^-9 + 0.*I, 1.532119986435987*^-7 + 0.*I, 1.125749782282526*^-6 + 0.*I, 1.4101925849274721*^-6 + 0.*I, 4.107122197893887*^-6 + 0.*I, 9.096691844234783*^-7 + 0.*I, 4.5806538562231935*^-7 + 0.*I, 3.885498589539793*^-8 + 0.*I, 1.4642065337966412*^-9 + 0.*I, 3.0397906414236786*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.3137307042530013 + 0.*I, 0.024542143779182624 + 0.*I, 0.015640229873992162 + 0.*I, 0.25559282513940573 + 0.*I, 0.046039162953603885 + 0.*I, 0.003084374375994514 + 0.*I, 0.00010994323358382019 + 0.*I, 2.4468993942150523*^-6 + 0.*I, 3.691600358735059*^-8 + 0.*I, 1.0426792762530114*^-8 + 0.*I, 1.6936541058498733*^-7 + 0.*I, 1.2024274020916437*^-6 + 0.*I, 1.3993397995903933*^-6 + 0.*I, 4.219506588576394*^-6 + 0.*I, 9.032187886504062*^-7 + 0.*I, 4.892328098193843*^-7 + 0.*I, 4.294120614645181*^-8 + 0.*I, 1.668198912341268*^-9 + 0.*I, 3.559375016948252*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.31738690973899253 + 0.*I, 0.03972822469899828 + 0.*I, 0.030563523069004898 + 0.*I, 0.2567656797284102 + 0.*I, 0.04801421626099423 + 0.*I, 0.003317718042206153 + 0.*I, 0.00012176172758948667 + 0.*I, 2.7881001951612916*^-6 + 0.*I, 4.3260595106175976*^-8 + 0.*I, 1.1833001245520338*^-8 + 0.*I, 1.869103982699016*^-7 + 0.*I, 1.2824693973456649*^-6 + 0.*I, 1.3825121936150708*^-6 + 0.*I, 4.328794789287827*^-6 + 0.*I, 8.929782024935662*^-7 + 0.*I, 5.217656084965938*^-7 + 0.*I, 4.737821246436625*^-8 + 0.*I, 1.896793833111588*^-9 + 0.*I, 4.198863479132342*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3208793648044051 + 0.*I, 0.05456172393001336 + 0.*I, 0.045139851827813444 + 0.*I, 0.2577277227639785 + 0.*I, 0.050027556142207 + 0.*I, 0.0035643503427884586 + 0.*I, 0.0001346408601943239 + 0.*I, 3.1708370151761756*^-6 + 0.*I, 5.0581405730554265*^-8 + 0.*I, 1.3401191267803371*^-8 + 0.*I, 2.0593799998636086*^-7 + 0.*I, 1.3658950193118358*^-6 + 0.*I, 1.359368795306182*^-6 + 0.*I, 4.434589984114723*^-6 + 0.*I, 8.787307992363935*^-7 + 0.*I, 5.556717974641856*^-7 + 0.*I, 5.2188808830067046*^-8 + 0.*I, 2.152988898274089*^-9 + 0.*I, 4.9205084451386944*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.3242037231495854 + 0.*I, 0.0690311471849947 + 0.*I, 0.05935869416899831 + 0.*I, 0.25847630090380935 + 0.*I, 0.05207791023680297 + 0.*I, 0.0038247428109983166 + 0.*I, 0.00014865634920813164 + 0.*I, 3.5994298208663626*^-6 + 0.*I, 5.901139576991455*^-8 + 0.*I, 1.5146817133882*^-8 + 0.*I, 2.2654160769519652*^-7 + 0.*I, 1.4527135938635638*^-6 + 0.*I, 1.3295698098048092*^-6 + 0.*I, 4.536492403950376*^-6 + 0.*I, 8.602614176567158*^-7 + 0.*I, 5.90955218093825*^-7 + 0.*I, 5.739599906462445*^-8 + 0.*I, 2.4386048735891568*^-9 + 0.*I, 5.759837051755312*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.32735580826321886 + 0.*I, 0.08312543257258387 + 0.*I, 0.07320999242159676 + 0.*I, 0.2590090441703996 + 0.*I, 0.0541639187849885 + 0.*I, 0.004099368443211127 + 0.*I, 0.00016388780019749308 + 0.*I, 4.07856961537334*^-6 + 0.*I, 6.869860236236036*^-8 + 0.*I, 1.7086199122218207*^-8 + 0.*I, 2.488204087214285*^-7 + 0.*I, 1.5429256094989798*^-6 + 0.*I, 1.2927785952854265*^-6 + 0.*I, 4.634097217071087*^-6 + 0.*I, 8.373570059561076*^-7 + 0.*I, 6.276160036122748*^-7 + 0.*I, 6.302500743515794*^-8 + 0.*I, 2.757216677196084*^-9 + 0.*I, 6.719069745031449*^-11 + 0.*I, 0. + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I}
{0.3303316175516047 + 0.*I, 0.09683396076420882 + 0.*I, 0.0866841625488002 + 0.*I, 0.2593238692099931 + 0.*I, 0.056284135328410485 + 0.*I, 0.004388700897006714 + 0.*I, 0.00018041880800456767 + 0.*I, 4.6133437958673085*^-6 + 0.*I, 7.980960337050648*^-8 + 0.*I, 1.9236789938759102*^-8 + 0.*I, 2.7287518911123243*^-7 + 0.*I, 1.6365198085566135*^-6 + 0.*I, 1.2486612188666868*^-6 + 0.*I, 4.726998592552435*^-6 + 0.*I, 8.098058001948516*^-7 + 0.*I, 6.656498019452783*^-7 + 0.*I, 6.910079175526108*^-8 + 0.*I, 3.111599866656434*^-9 + 0.*I, 7.7982065249671*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3331273262697998 + 0.*I, 0.11014656462879914 + 0.*I, 0.09977210286760131 + 0.*I, 0.2594189821494064 + 0.*I, 0.05843702756960223 + 0.*I, 0.004693213662787521 + 0.*I, 0.00019833705420246875 + 0.*I, 5.209261000338473*^-6 + 0.*I, 9.25288068387431*^-8 + 0.*I, 2.161681944556904*^-8 + 0.*I, 2.988113978474871*^-7 + 0.*I, 1.733474608300867*^-6 + 0.*I, 1.1968887880797752*^-6 + 0.*I, 4.814788390206104*^-6 + 0.*I, 7.773997889870544*^-7 + 0.*I, 7.050477979220204*^-7 + 0.*I, 7.564979753738044*^-8 + 0.*I, 3.5055958136354093*^-9 + 0.*I, 9.039435866498025*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3357392912471946 + 0.*I, 0.12305353832580136 + 0.*I, 0.1124652021456063 + 0.*I, 0.25929288104340475 + 0.*I, 0.060620978389613896 + 0.*I, 0.005013379208196334 + 0.*I, 0.00021773440401773314 + 0.*I, 5.8722793960797065*^-6 + 0.*I, 1.070622035470592*^-7 + 0.*I, 2.4246604723998644*^-8 + 0.*I, 3.267375925375405*^-7 + 0.*I, 1.833757212743592*^-6 + 0.*I, 1.1371382058200652*^-6 + 0.*I, 4.897058802910693*^-6 + 0.*I, 7.399348023184872*^-7 + 0.*I, 7.457974016134018*^-7 + 0.*I, 8.269900320101442*^-8 + 0.*I, 3.942601800588364*^-9 + 0.*I, 1.0460521338018225*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.338164054407808 + 0.*I, 0.13554564584219442 + 0.*I, 0.12475534707458992 + 0.*I, 0.25894435791220527 + 0.*I, 0.06283428702240634 + 0.*I, 0.005349668096998884 + 0.*I, 0.0002387069971909739 + 0.*I, 6.608833813537274*^-6 + 0.*I, 1.236384106206856*^-7 + 0.*I, 2.7146196401872658*^-8 + 0.*I, 3.567652173686042*^-7 + 0.*I, 1.9373220139229375*^-6 + 0.*I, 1.069091992711435*^-6 + 0.*I, 4.973403200381199*^-6 + 0.*I, 6.972102006841396*^-7 + 0.*I, 7.878802055216739*^-7 + 0.*I, 9.02760088905552*^-8 + 0.*I, 4.426592425943454*^-9 + 0.*I, 1.205924249347845*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.3403983460808169 + 0.*I, 0.14761412897159598 + 0.*I, 0.1366349291126001 + 0.*I, 0.258372500366999 + 0.*I, 0.06507517038538692 + 0.*I, 0.005702548085406712 + 0.*I, 0.00026135533439664016 + 0.*I, 7.4258656113102015*^-6 + 0.*I, 1.4251018143340843*^-7 + 0.*I, 3.03386205047218*^-8 + 0.*I, 3.8901057930473826*^-7 + 0.*I, 2.044111790944214*^-6 + 0.*I, 9.92442994451892*^-7 + 0.*I, 5.043415995942269*^-6 + 0.*I, 6.490316062368606*^-7 + 0.*I, 8.312732058257667*^-7 + 0.*I, 9.841059078752325*^-8 + 0.*I, 4.9618087416547504*^-9 + 0.*I, 1.3919976282750213*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.34243908809499235 + 0.*I, 0.159250714727599 + 0.*I, 0.1480968506825997 + 0.*I, 0.2575766928216039 + 0.*I, 0.06734176456499875 + 0.*I, 0.006072483197194779 + 0.*I, 0.00028578436441772936 + 0.*I, 8.330853007443295*^-6 + 0.*I, 1.6395920177103562*^-7 + 0.*I, 3.3846991875918775*^-8 + 0.*I, 4.2359098451072446*^-7 + 0.*I, 2.154055001035715*^-6 + 0.*I, 9.068912065757218*^-7 + 0.*I, 5.106696199241868*^-6 + 0.*I, 5.952099924044774*^-7 + 0.*I, 8.759480030207101*^-7 + 0.*I, 1.0713141485041433*^-7 + 0.*I, 5.553002502267646*^-9 + 0.*I, 1.6018297799291759*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 8.215650382226159*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.34428339666021657 + 0.*I, 0.17044762217779397 + 0.*I, 0.15913453072959882 + 0.*I, 0.25655661728560825 + 0.*I, 0.06963212645638707 + 0.*I, 0.006459932773794642 + 0.*I, 0.0003121035591968635 + 0.*I, 9.331843409121633*^-6 + 0.*I, 1.882964006938437*^-7 + 0.*I, 3.7695002674809075*^-8 + 0.*I, 4.6062860192819244*^-7 + 0.*I, 2.267066601113754*^-6 + 0.*I, 8.121471939404047*^-7 + 0.*I, 5.162847216411137*^-6 + 0.*I, 5.355626164771366*^-7 + 0.*I, 9.218704022373458*^-7 + 0.*I, 1.1646859032765634*^-7 + 0.*I, 6.2045923954201515*^-9 + 0.*I, 1.8380852395694094*^-10 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.34592858502799917 + 0.*I, 0.18119756869978687 + 0.*I, 0.1697419096265973 + 0.*I, 0.2553122537432007 + 0.*I, 0.07194423555341169 + 0.*I, 0.006865350507601065 + 0.*I, 0.0003404269887985478 + 0.*I, 0.000010437484410097399 + 0.*I, 2.1586381571125915*^-7 + 0.*I, 4.190958691197011*^-8 + 0.*I, 5.002477987403608*^-7 + 0.*I, 2.3830488027343226*^-6 + 0.*I, 7.07933800470073*^-7 + 0.*I, 5.211477005495624*^-6 + 0.*I, 4.6991539548457695*^-7 + 0.*I, 9.690017899188774*^-7 + 0.*I, 1.2645360314422763*^-7 + 0.*I, 6.921996309472434*^-9 + 0.*I, 2.1078694345533225*^-10 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
