t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14
0.86,0.026689234527207024,0.0,0.9913365617662258,0.054773968258072764,0.0023407946905981253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.87,0.02493833812023339,0.0,0.9920196344634237,0.058346439916210954,0.0018606971421952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.019307694296907266,0.0,0.9927983607303796,0.06079521435485316,0.0024015995165558995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.89,0.01072322543348652,0.0,0.9933014135568313,0.0614405297848695,0.001705958913494584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0008888583506898425,0.0,0.9934767848705361,0.060380911433671906,0.001479746275470605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0.007537587704887905,0.0,0.9934982494854295,0.058454969353795024,0.001209390851504531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.01640306834129464,0.0,0.9935194204898582,0.054956049848431575,0.0009332417237459763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.93,0.022715626153974034,0.0,0.9935007156069082,0.049740841649293634,0.00044061981524134704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,0.025771754126933877,0.0,0.9932865282490884,0.04382966904205962,2.078526176181521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.025252249221430056,0.0,0.9927794416227832,0.036723253779386754,0.0003326846190865682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.02103434728578171,0.0,0.9921079355112039,0.028233739853787056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97,0.0133913642127063,0.0,0.9916086897968218,0.019312598391426284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.003302568248392161,0.0,0.9916011065056864,0.009988830236914945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99,0.005952310238889243,0.0,0.9921234910835043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.01533678941053652,0.0,0.992881882625668,0.008586121477653159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
